SampleID,Colony,Treatment,timepoint,died,WingAvgmm,StartWt
HW001,QP2,control,0,0,4.3,0.5989
HW001,QP2,control,3,0,4.3,0.5989
HW001,QP2,control,6,0,4.3,0.5989
HW001,QP2,control,9,0,4.3,0.5989
HW001,QP2,control,12,0,4.3,0.5989
HW002,QP2,control,0,0,4.1,0.4821
HW002,QP2,control,3,0,4.1,0.4821
HW002,QP2,control,6,0,4.1,0.4821
HW002,QP2,control,9,0,4.1,0.4821
HW002,QP2,control,12,0,4.1,0.4821
HW003,QP2,NS3d,0,0,4.25,0.5173
HW003,QP2,NS3d,3,0,4.25,0.5173
HW003,QP2,NS3d,6,0,4.25,0.5173
HW003,QP2,NS3d,9,0,4.25,0.5173
HW003,QP2,NS3d,12,0,4.25,0.5173
HW004,QP2,NS6d,0,0,4,0.5209
HW004,QP2,NS6d,3,0,4,0.5209
HW004,QP2,NS6d,6,1,4,0.5209
HW004,QP2,NS6d,9,1,4,0.5209
HW004,QP2,NS6d,12,1,4,0.5209
HW005,QP2,NS9d,0,0,4.3,0.5928
HW005,QP2,NS9d,3,0,4.3,0.5928
HW005,QP2,NS9d,6,0,4.3,0.5928
HW005,QP2,NS9d,9,0,4.3,0.5928
HW005,QP2,NS9d,12,0,4.3,0.5928
HW006,QP2,NS12d,0,0,4.25,0.5216
HW006,QP2,NS12d,3,0,4.25,0.5216
HW006,QP2,NS12d,6,1,4.25,0.5216
HW006,QP2,NS12d,9,1,4.25,0.5216
HW006,QP2,NS12d,12,1,4.25,0.5216
HW007,QP2,PS12d,0,0,3.9,0.4365
HW007,QP2,PS12d,3,0,3.9,0.4365
HW007,QP2,PS12d,6,0,3.9,0.4365
HW007,QP2,PS12d,9,0,3.9,0.4365
HW007,QP2,PS12d,12,0,3.9,0.4365
HW008,QP2,PS3d,0,0,4.2,0.5422
HW008,QP2,PS3d,3,0,4.2,0.5422
HW008,QP2,PS3d,6,0,4.2,0.5422
HW008,QP2,PS3d,9,0,4.2,0.5422
HW008,QP2,PS3d,12,0,4.2,0.5422
HW009,QP1,PS3d,0,0,4.3,0.5369
HW009,QP1,PS3d,3,0,4.3,0.5369
HW009,QP1,PS3d,6,0,4.3,0.5369
HW009,QP1,PS3d,9,0,4.3,0.5369
HW009,QP1,PS3d,12,0,4.3,0.5369
HW010,QP2,PS6d,0,0,3.75,0.4008
HW010,QP2,PS6d,3,0,3.75,0.4008
HW010,QP2,PS6d,6,0,3.75,0.4008
HW010,QP2,PS6d,9,0,3.75,0.4008
HW010,QP2,PS6d,12,0,3.75,0.4008
HW011,QP2,PS9d,0,0,3.65,0.3923
HW011,QP2,PS9d,3,0,3.65,0.3923
HW011,QP2,PS9d,6,0,3.65,0.3923
HW011,QP2,PS9d,9,0,3.65,0.3923
HW011,QP2,PS9d,12,0,3.65,0.3923
HW012,MP3,control,0,0,3.65,0.5359
HW012,MP3,control,3,0,3.65,0.5359
HW012,MP3,control,6,0,3.65,0.5359
HW012,MP3,control,9,0,3.65,0.5359
HW012,MP3,control,12,0,3.65,0.5359
HW013,MP3,PS3d,0,0,3.9,0.5224
HW013,MP3,PS3d,3,0,3.9,0.5224
HW013,MP3,PS3d,6,0,3.9,0.5224
HW013,MP3,PS3d,9,0,3.9,0.5224
HW013,MP3,PS3d,12,0,3.9,0.5224
HW014,QP2,PS3d,0,0,3.8,0.4522
HW014,QP2,PS3d,3,0,3.8,0.4522
HW014,QP2,PS3d,6,0,3.8,0.4522
HW014,QP2,PS3d,9,0,3.8,0.4522
HW014,QP2,PS3d,12,0,3.8,0.4522
HW015,QP2,NS3d,0,0,3.85,0.4686
HW015,QP2,NS3d,3,0,3.85,0.4686
HW015,QP2,NS3d,6,0,3.85,0.4686
HW015,QP2,NS3d,9,0,3.85,0.4686
HW015,QP2,NS3d,12,0,3.85,0.4686
HW016,QP2,NS9d,0,0,3.8,0.443
HW016,QP2,NS9d,3,0,3.8,0.443
HW016,QP2,NS9d,6,0,3.8,0.443
HW016,QP2,NS9d,9,0,3.8,0.443
HW016,QP2,NS9d,12,0,3.8,0.443
HW017,QP2,NS12d,0,0,3.2,0.404
HW017,QP2,NS12d,3,1,3.2,0.404
HW017,QP2,NS12d,6,1,3.2,0.404
HW017,QP2,NS12d,9,1,3.2,0.404
HW017,QP2,NS12d,12,1,3.2,0.404
HW018,DR2,control,0,0,3.9,0.5083
HW018,DR2,control,3,0,3.9,0.5083
HW018,DR2,control,6,0,3.9,0.5083
HW018,DR2,control,9,0,3.9,0.5083
HW018,DR2,control,12,0,3.9,0.5083
HW019,DR2,NS3d,0,0,4.05,0.5695
HW019,DR2,NS3d,3,0,4.05,0.5695
HW019,DR2,NS3d,6,0,4.05,0.5695
HW019,DR2,NS3d,9,0,4.05,0.5695
HW019,DR2,NS3d,12,0,4.05,0.5695
HW020,DR2,NS6d,0,0,NA,0.6381
HW020,DR2,NS6d,3,0,NA,0.6381
HW020,DR2,NS6d,6,0,NA,0.6381
HW020,DR2,NS6d,9,0,NA,0.6381
HW020,DR2,NS6d,12,0,NA,0.6381
HW021,DR2,NS12d,0,0,NA,0.5775
HW021,DR2,NS12d,3,0,NA,0.5775
HW021,DR2,NS12d,6,0,NA,0.5775
HW021,DR2,NS12d,9,1,NA,0.5775
HW021,DR2,NS12d,12,1,NA,0.5775
HW022,QP2,PS12d,0,0,3.9,0.489
HW022,QP2,PS12d,3,0,3.9,0.489
HW022,QP2,PS12d,6,0,3.9,0.489
HW022,QP2,PS12d,9,0,3.9,0.489
HW022,QP2,PS12d,12,0,3.9,0.489
HW023,DR2,NS9d,0,0,NA,0.6517
HW023,DR2,NS9d,3,0,NA,0.6517
HW023,DR2,NS9d,6,1,NA,0.6517
HW023,DR2,NS9d,9,1,NA,0.6517
HW023,DR2,NS9d,12,1,NA,0.6517
HW024,DR2,PS3d,0,0,4.4,0.639
HW024,DR2,PS3d,3,0,4.4,0.639
HW024,DR2,PS3d,6,0,4.4,0.639
HW024,DR2,PS3d,9,0,4.4,0.639
HW024,DR2,PS3d,12,0,4.4,0.639
HW025,DR2,PS12d,0,0,4,0.5229
HW025,DR2,PS12d,3,0,4,0.5229
HW025,DR2,PS12d,6,0,4,0.5229
HW025,DR2,PS12d,9,0,4,0.5229
HW025,DR2,PS12d,12,0,4,0.5229
HW026,QP3,control,0,0,4.2,0.6291
HW026,QP3,control,3,0,4.2,0.6291
HW026,QP3,control,6,0,4.2,0.6291
HW026,QP3,control,9,0,4.2,0.6291
HW026,QP3,control,12,0,4.2,0.6291
HW027,QP2,NS6d,0,0,3.75,0.3864
HW027,QP2,NS6d,3,0,3.75,0.3864
HW027,QP2,NS6d,6,0,3.75,0.3864
HW027,QP2,NS6d,9,0,3.75,0.3864
HW027,QP2,NS6d,12,0,3.75,0.3864
HW029,QP3,PS3d,0,0,NA,0.6168
HW029,QP3,PS3d,3,0,NA,0.6168
HW029,QP3,PS3d,6,0,NA,0.6168
HW029,QP3,PS3d,9,0,NA,0.6168
HW029,QP3,PS3d,12,0,NA,0.6168
HW030,QP3,NS6d,0,0,4.35,0.6102
HW030,QP3,NS6d,3,0,4.35,0.6102
HW030,QP3,NS6d,6,1,4.35,0.6102
HW030,QP3,NS6d,9,1,4.35,0.6102
HW030,QP3,NS6d,12,1,4.35,0.6102
HW031,QP3,PS6d,0,0,NA,0.6406
HW031,QP3,PS6d,3,0,NA,0.6406
HW031,QP3,PS6d,6,0,NA,0.6406
HW031,QP3,PS6d,9,0,NA,0.6406
HW031,QP3,PS6d,12,0,NA,0.6406
HW032,QP3,PS12d,0,0,NA,0.621
HW032,QP3,PS12d,3,0,NA,0.621
HW032,QP3,PS12d,6,0,NA,0.621
HW032,QP3,PS12d,9,0,NA,0.621
HW032,QP3,PS12d,12,0,NA,0.621
HW033,QP3,PS9d,0,0,NA,0.608
HW033,QP3,PS9d,3,0,NA,0.608
HW033,QP3,PS9d,6,0,NA,0.608
HW033,QP3,PS9d,9,0,NA,0.608
HW033,QP3,PS9d,12,0,NA,0.608
HW034,QP3,NS12d,0,0,4.2,0.6173
HW034,QP3,NS12d,3,0,4.2,0.6173
HW034,QP3,NS12d,6,1,4.2,0.6173
HW034,QP3,NS12d,9,1,4.2,0.6173
HW034,QP3,NS12d,12,1,4.2,0.6173
HW035,QP3,NS9d,0,0,4.2,0.619
HW035,QP3,NS9d,3,0,4.2,0.619
HW035,QP3,NS9d,6,0,4.2,0.619
HW035,QP3,NS9d,9,0,4.2,0.619
HW035,QP3,NS9d,12,1,4.2,0.619
HW036,QP3,control,0,0,NA,0.6113
HW036,QP3,control,3,0,NA,1.6113
HW036,QP3,control,6,0,NA,2.6113
HW036,QP3,control,9,0,NA,3.6113
HW036,QP3,control,12,0,NA,4.6113
HW037,QP3,PS6d,0,0,4.1,0.5689
HW037,QP3,PS6d,3,0,4.1,0.5689
HW037,QP3,PS6d,6,0,4.1,0.5689
HW037,QP3,PS6d,9,0,4.1,0.5689
HW037,QP3,PS6d,12,0,4.1,0.5689
HW038,QP3,PS9d,0,0,3.95,0.5532
HW038,QP3,PS9d,3,0,3.95,0.5532
HW038,QP3,PS9d,6,0,3.95,0.5532
HW038,QP3,PS9d,9,0,3.95,0.5532
HW038,QP3,PS9d,12,0,3.95,0.5532
HW039,QP3,NS9d,0,0,4,0.5501
HW039,QP3,NS9d,3,0,4,0.5501
HW039,QP3,NS9d,6,0,4,0.5501
HW039,QP3,NS9d,9,1,4,0.5501
HW039,QP3,NS9d,12,1,4,0.5501
HW040,QP3,NS6d,0,0,3.9,0.5045
HW040,QP3,NS6d,3,0,3.9,0.5045
HW040,QP3,NS6d,6,0,3.9,0.5045
HW040,QP3,NS6d,9,0,3.9,0.5045
HW040,QP3,NS6d,12,0,3.9,0.5045
HW041,QP3,NS9d,0,0,4.15,0.5975
HW041,QP3,NS9d,3,0,4.15,0.5975
HW041,QP3,NS9d,6,1,4.15,0.5975
HW041,QP3,NS9d,9,1,4.15,0.5975
HW041,QP3,NS9d,12,1,4.15,0.5975
HW042,QP3,NS12d,0,0,4.25,0.5963
HW042,QP3,NS12d,3,0,4.25,0.5963
HW042,QP3,NS12d,6,1,4.25,0.5963
HW042,QP3,NS12d,9,1,4.25,0.5963
HW042,QP3,NS12d,12,1,4.25,0.5963
HW043,QP3,PS6d,0,0,4.3,0.6343
HW043,QP3,PS6d,3,0,4.3,0.6343
HW043,QP3,PS6d,6,0,4.3,0.6343
HW043,QP3,PS6d,9,0,4.3,0.6343
HW043,QP3,PS6d,12,0,4.3,0.6343
HW044,QP3,PS9d,0,0,4.25,0.6482
HW044,QP3,PS9d,3,0,4.25,0.6482
HW044,QP3,PS9d,6,0,4.25,0.6482
HW044,QP3,PS9d,9,0,4.25,0.6482
HW044,QP3,PS9d,12,0,4.25,0.6482
HW045,QP3,PS6d,0,0,3.85,0.4972
HW045,QP3,PS6d,3,0,3.85,0.4972
HW045,QP3,PS6d,6,0,3.85,0.4972
HW045,QP3,PS6d,9,0,3.85,0.4972
HW045,QP3,PS6d,12,0,3.85,0.4972
HW046,QP3,PS9d,0,0,4.1,0.6241
HW046,QP3,PS9d,3,0,4.1,0.6241
HW046,QP3,PS9d,6,0,4.1,0.6241
HW046,QP3,PS9d,9,0,4.1,0.6241
HW046,QP3,PS9d,12,0,4.1,0.6241
HW047,QP3,PS12d,0,0,4.2,0.5864
HW047,QP3,PS12d,3,0,4.2,0.5864
HW047,QP3,PS12d,6,0,4.2,0.5864
HW047,QP3,PS12d,9,0,4.2,0.5864
HW047,QP3,PS12d,12,0,4.2,0.5864
HW048,QP3,NS3d,0,0,4.2,0.5511
HW048,QP3,NS3d,3,0,4.2,0.5511
HW048,QP3,NS3d,6,0,4.2,0.5511
HW048,QP3,NS3d,9,0,4.2,0.5511
HW048,QP3,NS3d,12,0,4.2,0.5511
HW049,QP3,NS6d,0,0,4,0.5963
HW049,QP3,NS6d,3,0,4,0.5963
HW049,QP3,NS6d,6,0,4,0.5963
HW049,QP3,NS6d,9,0,4,0.5963
HW049,QP3,NS6d,12,0,4,0.5963
HW050,QP3,NS9d,0,0,4.4,0.672
HW050,QP3,NS9d,3,0,4.4,0.672
HW050,QP3,NS9d,6,1,4.4,0.672
HW050,QP3,NS9d,9,1,4.4,0.672
HW050,QP3,NS9d,12,1,4.4,0.672
HW051,QP3,PS3d,0,0,4.3,0.5864
HW051,QP3,PS3d,3,0,4.3,0.5864
HW051,QP3,PS3d,6,0,4.3,0.5864
HW051,QP3,PS3d,9,0,4.3,0.5864
HW051,QP3,PS3d,12,0,4.3,0.5864
HW052,QP3,NS12d,0,0,4.15,0.5379
HW052,QP3,NS12d,3,0,4.15,0.5379
HW052,QP3,NS12d,6,0,4.15,0.5379
HW052,QP3,NS12d,9,1,4.15,0.5379
HW052,QP3,NS12d,12,1,4.15,0.5379
HW053,QP3,PS12d,0,0,4.25,0.5605
HW053,QP3,PS12d,3,0,4.25,0.5605
HW053,QP3,PS12d,6,0,4.25,0.5605
HW053,QP3,PS12d,9,0,4.25,0.5605
HW053,QP3,PS12d,12,0,4.25,0.5605
HW054,QP3,control,0,0,4.1,0.5182
HW054,QP3,control,3,0,4.1,0.5182
HW054,QP3,control,6,0,4.1,0.5182
HW054,QP3,control,9,0,4.1,0.5182
HW054,QP3,control,12,0,4.1,0.5182
HW055,QP3,PS6d,0,0,4.2,0.6063
HW055,QP3,PS6d,3,0,4.2,0.6063
HW055,QP3,PS6d,6,0,4.2,0.6063
HW055,QP3,PS6d,9,0,4.2,0.6063
HW055,QP3,PS6d,12,0,4.2,0.6063
HW056,QP3,PS9d,0,0,4.2,0.5723
HW056,QP3,PS9d,3,0,4.2,0.5723
HW056,QP3,PS9d,6,0,4.2,0.5723
HW056,QP3,PS9d,9,0,4.2,0.5723
HW056,QP3,PS9d,12,0,4.2,0.5723
HW057,QP3,PS3d,0,0,4.3,0.6261
HW057,QP3,PS3d,3,0,4.3,0.6261
HW057,QP3,PS3d,6,0,4.3,0.6261
HW057,QP3,PS3d,9,0,4.3,0.6261
HW057,QP3,PS3d,12,0,4.3,0.6261
HW058,QP3,NS3d,0,0,3.85,0.5163
HW058,QP3,NS3d,3,0,3.85,0.5163
HW058,QP3,NS3d,6,0,3.85,0.5163
HW058,QP3,NS3d,9,0,3.85,0.5163
HW058,QP3,NS3d,12,0,3.85,0.5163
HW059,QP3,NS6d,0,0,4,0.4975
HW059,QP3,NS6d,3,0,4,0.4975
